Horodateur,Nom du créateur,corCrea,Nom de l'Évaluateur,corEval,Version du projet,"Aspect Technique: Qualité du Code (Lisibilité, structure, respect des standards)","Aspect Technique: Fonctionnalité et Robustesse (Absence de bugs majeurs, gestion des erreurs)","Aspect Design/UX: Interface Utilisateur (Attractivité, cohérence visuelle)","Aspect Design/UX: Expérience Utilisateur (Facilité de navigation, intuitivité)","Implémentation des technologies clés (HTML/CSS, JavaScript, Frameworks/Librairies) [Maîtrise HTML et sémantique]","Implémentation des technologies clés (HTML/CSS, JavaScript, Frameworks/Librairies) [Maîtrise CSS et Responsive Design]","Implémentation des technologies clés (HTML/CSS, JavaScript, Frameworks/Librairies) [Complexité et efficacité du JavaScript (front-end)]","Implémentation des technologies clés (HTML/CSS, JavaScript, Frameworks/Librairies) [Utilisation de librairie ou framework (ex: React, Vue, Node.js)]",Innovation et Originalité du Projet,Points forts du projet,Suggestions d'amélioration,Pertinence des améliorations de la nouvelle version,Note Globale Recommandée (sur 20)
16/12/2025 16:06:07,Kell2107,kell2107,Wafa258,wafa258,5,4,4,4,4,Conforme,Conforme,Conforme,Partiellement Conforme,7,,,6,15
16/12/2025 16:06:09,wafa258,wafa258,ouarkia,Ouarkia,2,3,3,3,3,Conforme,Conforme,Conforme,Conforme,7,musique et timer présent,moins de temps,7,13
16/12/2025 16:06:33,Juniorald,Juniorald,callmejeeh,callmejeeh,3,5,5,3,4,Conforme,Conforme,Conforme,Conforme,,,,10,
16/12/2025 16:06:44,Ouarkia,Ouarkia,lizachikhaoui,lizachikhaoui,6,5,5,4,5,,,,,,,,,"15,5"
16/12/2025 16:06:56,kell2107,kell2107,Haithem939,Haithem939,1,2,2,2,2,Conforme,Conforme,Partiellement Conforme,Non Conforme,5,,Rendre plus clair,5,10
16/12/2025 16:07:27,Juniorald,Juniorald,callmejeeh,callmejeeh,4,5,5,3,4,Conforme,Conforme,Conforme,Partiellement Conforme,,,,4,
16/12/2025 16:07:30,kell2107,kell2107,kada798,kada798,2,4,4,3,4,Conforme,Conforme,Partiellement Conforme,Conforme,6,utile,/,6,13
16/12/2025 16:07:34,haithem939,Haithem939,kell2107,kell2107,5,3,3,3,3,Conforme,Conforme,Conforme,Conforme,4,Super comparé a la précédente version ici j'ai eu un score de 4 et l'aura qu'il ya sur le carré ,,5,"13,5"
16/12/2025 16:07:37,Kell2107,kell2107,Wafa258,wafa258,6,4,4,4,5,Conforme,Conforme,Conforme,Conforme,7,L'ajout de l'intensité de la densité est pertinent. ,,7,16
16/12/2025 16:07:43,  kell2107,kell2107,kadiriilham634-del,kadiriilham634-del,1,3,3,,,,,,,,,,10,
16/12/2025 16:08:12,wafa258,wafa258,ouarkia,Ouarkia,3,3,4,4,4,Conforme,Conforme,Conforme,Conforme,7,rajout d'un son de noel,que le bouton son nous précise si le son est actif ou pas,7,13
16/12/2025 16:08:18,Ouarkia,Ouarkia,Liline96,Liline96,3,4,5,5,5,Conforme,Conforme,Conforme,Conforme,7,J'aime bien la phrase d'encouragement à la fin. ,,7,15
16/12/2025 16:08:21,kell2107,kell2107,Haithem939,Haithem939,2,3,3,2,2,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,Non Conforme,5,,Le rendre plus clair,5,11
16/12/2025 16:08:29,Ouarkia,Ouarkia,Fatoucmr,fatoucmr,5,4,3,4,4,Conforme,Conforme,Conforme,Non Conforme,8,Ajout du timer qui donne plus de challenge,"Stopper la barre du timer en même temps que le temps (qu'elle arrête de s'écouler même quand le temps est écoulé, et mettre la barre d'une autre couleur. Ajouter du son. Changer l'ordre des questions et ajouter de nouvelles questions. ",7,14
16/12/2025 16:08:41,Juniorald,Juniorald,callmejeeh,callmejeeh,5,5,5,3,4,Conforme,Conforme,Conforme,Partiellement Conforme,,,,5,
16/12/2025 16:09:06,kell2107,kell2107,kada798,kada798,3,4,4,3,4,Conforme,Conforme,Conforme,Conforme,5,/,/,7,14
16/12/2025 16:09:11,kell2107,kell2107,kadiriilham634-del,kadiriilham634-del,2,3,3,,,,,,,,,,,
16/12/2025 16:09:52,Juniorald,Juniorald,callmejeeh,callmejeeh,6,5,5,3,4,Conforme,Conforme,Conforme,Conforme,,J'ai adoré le samba ajouté ,,3,
16/12/2025 16:09:55,wafa258,wafa258,ouarkia,Ouarkia,4,3,3,3,3,Conforme,Conforme,Conforme,Conforme,7,les émojis s'affichent correctement,pas assez de contrstse entre le fond et le bouton start,8,13
16/12/2025 16:09:56,Haithem939,Haithem939,THAUT627,THAUT627,6,4,4,3,3,Conforme,Conforme,Partiellement Conforme,Non Conforme,6,"Le thème du projet, pas de bugs","Changer l'emplacement de la vitesse, l'afficher sur le jeu ou ne pas rendre le champs modifiable. pareil pour temps. Rendre le chemin du carré aléatoire.",8,15
16/12/2025 16:10:02,kell2107,kell2107,Haithem939,Haithem939,3,3,3,4,3,Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,7,La map le rend un peu plus clair,,7,14
16/12/2025 16:10:12,kell2107,kell2107,kadiriilham634-del,kadiriilham634-del,3,4,3,,,,,,,,,,,
16/12/2025 16:10:20,haithem939,Haithem939,kell2107,kell2107,6,4,4,4,4,Conforme,Conforme,Conforme,Conforme,5,super les couleurs qui change a chaque fois que l'on démarre le jeu,,6,14
16/12/2025 16:10:23,Ouarkia,Ouarkia,Liline96,Liline96,4,4,5,5,5,Conforme,Conforme,Conforme,Conforme,9,Le temps pour la question rajoute un bon gameplay ,Un menu avec des thèmes,9,17
16/12/2025 16:10:23,kell2107,kell2107,kada798,kada798,4,4,4,3,4,Conforme,Conforme,Conforme,Conforme,5,/,/,6,13
16/12/2025 16:10:26,kell2107,kell2107,lcruz-almeida,lcruz-almeida,1,4,1,3,1,Partiellement Conforme,Partiellement Conforme,Non Conforme,Partiellement Conforme,3,,interactivité,,8
16/12/2025 16:10:30,kell2107,kell2107,sakeeenasn,sakeenasn,1,4,1,3,1,Conforme,Conforme,Partiellement Conforme,Conforme,3,,L’interaction ,,10
16/12/2025 16:11:09,wafa258,wafa258,ouarkia,Ouarkia,5,4,4,4,4,Conforme,Conforme,Conforme,Conforme,8,contratse corriger + ajt bouton pause,ajouter d'autres thèmes,8,15
16/12/2025 16:11:23,fatoucmr,fatoucmr,Wafa258,wafa258,1,2,4,2,3,Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,5,Le jeu est bien pensé. ,Améliorer l'interface du jeu.,5,14
16/12/2025 16:11:43,kell2107,kell2107,nali-333,nali-333,1,4,3,3,3,Dépasse les attentes,Dépasse les attentes,Conforme,Conforme,9,"complexe
",,,13
16/12/2025 16:11:52,Ouarkia,Ouarkia,Fatoucmr,fatoucmr,6,4,4,4,4,Conforme,Conforme,Conforme,Non Conforme,8,"Ajout de l'historiques des scores, l'ordre des questions change quand on recommence la partie","Ajouter son, afficher historiques des derniers scores à la fin de la partie et ajouter de nouvelles questions. Rendre la barre de timer plus dynamique, qu'elle change de couleur en fonction du temps restant. ",8,15
16/12/2025 16:11:59,Ouarkia,Ouarkia,kell2107,kell2107,1,2,2,2,2,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,2,,,2,10
16/12/2025 16:12:03,kell2107,kell2107,kada798,kada798,5,4,4,3,3,Conforme,Conforme,Conforme,Conforme,6,/,/,7,14
16/12/2025 16:12:12,wafa258,wafa258,ouarkia,Ouarkia,6,5,5,5,5,Conforme,Conforme,Conforme,Conforme,9,thèmes ajouter,une musique diffèrentes par thèmes,9,16
16/12/2025 16:12:19,kell2107,kell2107,kadiriilham634-del,kadiriilham634-del,4,3,4,,,,,,,,,,,
16/12/2025 16:12:21,fatoucmr,fatoucmr,Wafa258,wafa258,1,3,4,3,4,Conforme,Conforme,Conforme,Partiellement Conforme,6,,,6,15
16/12/2025 16:12:34,kell2107,kell2107,lcruz-almeida ,lcruz-almeida,1,4,3,3,2,Partiellement Conforme,Partiellement Conforme,Non Conforme,Partiellement Conforme,4,,le visuelle ,3,10
16/12/2025 16:12:47,kell2107,kell2107,Haithem939,Haithem939,4,3,4,3,3,Conforme,Conforme,Partiellement Conforme,Partiellement Conforme,7,,,7,14
16/12/2025 16:12:49,kell2107,kell2107,nali-333,nali-333,2,5,4,4,4,Dépasse les attentes,Dépasse les attentes,Conforme,Conforme,7,,,7,14
16/12/2025 16:13:04,kell2107,kell2107,sakeenasn,sakeenasn,1,4,4,3,3,Conforme,Partiellement Conforme,Conforme,Conforme,5,Les clic sur les lieux,visuel et interactions ,5,11
16/12/2025 16:13:10,Ouarkia,Ouarkia,Liline96,Liline96,5,5,5,5,5,Conforme,Conforme,Conforme,Conforme,9,Simple et efficace ,Un historique un peu plus beau qui correspond à l'interface ,9,17
16/12/2025 16:13:29,fatoucmr,fatoucmr,Wafa258,wafa258,2,4,4,4,4,Conforme,Conforme,Conforme,Partiellement Conforme,6,,,6,16
16/12/2025 16:13:29,kell2107,kell2107,nali-333,nali-333,3,4,4,4,4,Dépasse les attentes,Dépasse les attentes,Conforme,Conforme,7,,,7,14
16/12/2025 16:13:49,kell2107,kell2107,kadiriilham634-del,kadiriilham634-del,5,4,4,,,,,,,,,,,
16/12/2025 16:14:07,kell2107,kell2107,nali-333,nali-333,4,4,4,4,4,Dépasse les attentes,Dépasse les attentes,Conforme,Conforme,7,,,7,14
16/12/2025 16:14:12,Ouarkia,Ouarkia,Calrifaii,calrifaii,3,3,2,,,,,,,,,,,
16/12/2025 16:14:27,kell2107,kell2107,sakeenasn,sakeenasn,2,4,4,4,4,Conforme,Conforme,Conforme,Conforme,6,La map,,6,12
16/12/2025 16:14:29,lizachikhaoui,lizachikhaoui,ouarkia,Ouarkia,1,3,3,1,1,Conforme,Conforme,Conforme,Conforme,3,dictionnaire idée intérrèssante ,rendre la page + fluide (définiiton qui apparaisent en retard),6,11
16/12/2025 16:14:29,kell2107,kell2107,lcruz-almeida,lcruz-almeida,2,4,3,3,3,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,4,,,6,11
16/12/2025 16:14:31,kell2107,kell2107,kada798,kada798,6,4,4,3,4,Conforme,Conforme,Conforme,Conforme,5,/,/,5,13
16/12/2025 16:14:40,kell2107,kell2107,kadiriilham634-del,kadiriilham634-del,6,4,4,,,,,,,,,,,
16/12/2025 16:14:41,kell2107,kell2107,Haithem939,Haithem939,5,4,4,3,3,Conforme,Conforme,Partiellement Conforme,Partiellement Conforme,6,,,6,14
16/12/2025 16:14:46,fatoucmr,fatoucmr,Wafa258,wafa258,3,4,4,4,4,Conforme,Conforme,Conforme,Conforme,7,L'ajout des niveaux est pertinent.,Améliorer l'interface du jeu.,7,16
16/12/2025 16:14:59,kell2107,kell2107,Fatoucmr,fatoucmr,1,4,4,4,4,Conforme,Conforme,Conforme,Conforme,8,"Ce sont des données réelles, la complexité et l'originalité du projet. ","Ajouter la carte en vue réelle en fond, et quand on clic les points noirs voir l'adresse que ça désigne.",,14
16/12/2025 16:15:28,Ouarkia,Ouarkia,kell2107,kell2107,2,2,2,2,2,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,2,,IL ya des questions ou ce ne sont pas les bonnes réponses par exemple le plus grand désert du monde c'est le sahara pas l'antarctique (ps: ça m'a mis l'antarctique en vert et le sahara en rouge),2,"10,5"
16/12/2025 16:15:29,kell2107,kell2107,nali-333,nali-333,5,4,2,4,,Conforme,Conforme,Conforme,Conforme,7,,bug quand on se déplace sur la carte,6,14
16/12/2025 16:15:30,Ouarkia,Ouarkia,Liline96,Liline96,6,5,5,5,5,Conforme,Conforme,Conforme,Conforme,9,Simple et efficace. Le code clair avec des commentairres,"Un historique un peu plus beau qui correspond à l'interface, plus de questions ou des thèmes.",,18
16/12/2025 16:15:37,kell2107,kell2107,sakeenasn,sakeenasn,3,4,4,3,4,Conforme,Conforme,Conforme,Conforme,5,,,5,12
16/12/2025 16:15:40,fatoucmr,fatoucmr,Wafa258,wafa258,4,4,4,4,5,Conforme,Conforme,Conforme,Conforme,8,Le design est mieux pensé. ,,8,17
16/12/2025 16:15:40,kell2107,kell2107,lcruz-almeida,lcruz-almeida,3,4,3,3,3,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,5,,,6,11
16/12/2025 16:16:17,lizachikhaoui,lizachikhaoui,ouarkia,Ouarkia,2,3,3,3,3,Conforme,Conforme,Conforme,Conforme,5,trad plus fluide,le texte est trop court,6,"11,5"
16/12/2025 16:16:26,fatoucmr,fatoucmr,Wafa258,wafa258,5,4,5,5,5,Conforme,Dépasse les attentes,Conforme,Conforme,8,,,8,18
16/12/2025 16:16:26,kell2107,kell2107,Haithem939,Haithem939,6,4,3,3,3,Conforme,Conforme,Partiellement Conforme,Partiellement Conforme,7,,,7,"14,5"
16/12/2025 16:16:58,callmejeeh,callmejeeh,callmejeeh,callmejeeh,1,5,5,2,2,Conforme,Conforme,Conforme,Non Conforme,,,,,
16/12/2025 16:17:06,kell2107,kell2107,lcruz-almeida,lcruz-almeida,4,4,2,4,4,Conforme,Conforme,Partiellement Conforme,Conforme,6,,,6,11
16/12/2025 16:17:08,kell2107,kell2107,Fatoucmr,fatoucmr,2,4,4,4,4,Conforme,Conforme,Conforme,Conforme,8,Alerte lorsque l'on clic les points noirs avec lieu des stations. ,"Rendre les points moins gros, et afficher en fond carte avec le nom des département. ",8,14
16/12/2025 16:17:10,kell2107,kell2107,sakeenasn,sakeenasn,4,4,2,3,2,Conforme,Conforme,Partiellement Conforme,Conforme,6,,,6,12
16/12/2025 16:17:22,kell2107,kell2107,lizachikhaoui,lizachikhaoui,1,4,4,3,3,Dépasse les attentes,Conforme,Conforme,Conforme,7,"Pertinence du sujet et de l'outil utilisé, l'utilisation de la librairie D3.js est un très bon choix, le projet met également en avant l'importance de la visualisation de données dans l'analyse et la compréhension des dynamiques spatiales notamment dans le milieu urbain.","Ajouter par exemple plus d'interactivité et d'exploration de données par des tooltips ou l'utilisateur trouve à chaque passage sur un point affichage d'une info-bulle avec plus d'informations détaillées, ajouter un zoom",6,15
16/12/2025 16:17:40,Ouarkia,Ouarkia,Calrifaii,calrifaii,4,3,3,,,,,,,,,,,
16/12/2025 16:17:48,callmejeeh,callmejeeh,callmejeeh,callmejeeh,2,4,1,4,2,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,,,,7,
16/12/2025 16:17:50,Ouarkia,Ouarkia,THAUT627,THAUT627,1,4,4,4,4,Conforme,Conforme,Conforme,Non Conforme,7,Le quiz fonctionne,Ajouter un système de points par bonne réponse.,4,12
16/12/2025 16:17:53,fatoucmr,fatoucmr,Wafa258,wafa258,6,4,5,5,5,Conforme,Dépasse les attentes,Conforme,Conforme,9,,,9,18
16/12/2025 16:17:57,lizachikhaoui,lizachikhaoui,ouarkia,Ouarkia,3,3,3,3,3,Conforme,Conforme,Conforme,Conforme,6,+ jolie,C'est chant non ?,6,12
16/12/2025 16:17:59,fatoucmr,fatoucmr,kada798,kada798,1,4,4,3,4,Conforme,Conforme,Conforme,Conforme,,/,/,5,13
16/12/2025 16:18:29,kell2107,kell2107,sakeenasn,sakeenasn,5,4,3,4,3,Conforme,Conforme,Partiellement Conforme,Conforme,7,,Les bugs,6,12
16/12/2025 16:18:30,kell2107,kell2107,lcruz-almeida,lcruz-almeida,5,4,2,3,4,Conforme,Conforme,Partiellement Conforme,Conforme,6,,,6,12
16/12/2025 16:18:31,callmejeeh,callmejeeh,callmejeeh,callmejeeh,3,5,5,4,2,Conforme,Conforme,Conforme,Partiellement Conforme,,,,7,
16/12/2025 16:18:48,ouarkia,Ouarkia,kell2107,kell2107,3,2,2,3,2,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,2,,Ici aussi la même question a le même problème(sur le desert),3,11
16/12/2025 16:18:49,kell2107,kell2107,lizachikhaoui,lizachikhaoui,2,5,5,4,4,,,,,,,,8,"15,5"
16/12/2025 16:18:55,Ouarkia,Ouarkia,Calrifaii,calrifaii,5,3,3,,,,,,,,,,,
16/12/2025 16:19:07,kell2107,kell2107,Fatoucmr,fatoucmr,3,4,4,4,4,Conforme,Conforme,Conforme,Conforme,8,"La carte en fond qui enrichie le visuel et les alertes enrichies (nom, capacité, bornettes libres). Originalité du projet et complexité à nouveau. ","Ajouter un zoom, et des éléments qui permette de déplacer la carte.",8,14
16/12/2025 16:19:14,callmejeeh,callmejeeh,callmejeeh,callmejeeh,4,5,4,4,4,Conforme,Conforme,Conforme,Partiellement Conforme,,,,10,
16/12/2025 16:19:15,kell2107,kell2107,Haithem939,Haithem939,6,3,4,3,4,Conforme,Conforme,Partiellement Conforme,Partiellement Conforme,6,,,6,"14,5"
16/12/2025 16:19:29,fatoucmr,fatoucmr,kada798,kada798,2,4,4,3,4,Conforme,Conforme,Conforme,Conforme,6,/,/,6,14
16/12/2025 16:19:31,Liline96,Liline96,Wafa258,wafa258,1,3,4,3,3,Conforme,Partiellement Conforme,Partiellement Conforme,Non Conforme,5,Le jeu est fonctionnel.,"Améliorer les design, ajouter des couleurs..",5,14
16/12/2025 16:19:43,kell2107,kell2107,sakeenasn,sakeenasn,6,5,3,4,4,Conforme,Conforme,Partiellement Conforme,Conforme,7,,,6,13
16/12/2025 16:19:45,kell2107,kell2107,lcruz-almeida,lcruz-almeida,6,4,4,3,4,Conforme,Conforme,Partiellement Conforme,Conforme,7,,,5,13
16/12/2025 16:19:48,kell2107,kell2107,lizachikhaoui,lizachikhaoui,3,5,5,,,,,,,,,,8,"15,5"
16/12/2025 16:19:54,Ouarkia,Ouarkia,Calrifaii,calrifaii,6,4,3,,,,,,,,,,,
16/12/2025 16:19:56,Ouarkia,Ouarkia,Juniorald,Juniorald,1,3,3,5,4,Conforme,Conforme,Partiellement Conforme,Non Conforme,6,,score,4,15
16/12/2025 16:19:57,Fatoucmr,fatoucmr,kadiriilham634-del,kadiriilham634-del,4,4,4,,,,,,,,,,,
16/12/2025 16:20:13,callmejeeh,callmejeeh,callmejeeh,callmejeeh,5,5,4,4,4,Conforme,Conforme,Conforme,Partiellement Conforme,,,,9,
16/12/2025 16:20:15,lizachikhaoui,lizachikhaoui,ouarkia,Ouarkia,4,4,3,3,3,Conforme,Conforme,Conforme,Conforme,8,dictée oral,rajt + d'options,7,13
16/12/2025 16:20:22,Ouarkia,Ouarkia,kell2107,kell2107,4,2,2,2,2,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,3,,,3,11
16/12/2025 16:20:28,Liline96,Liline96,Wafa258,wafa258,1,3,3,3,3,Conforme,Conforme,Partiellement Conforme,Non Conforme,6,,,6,14
16/12/2025 16:20:39,Fatoucmr,fatoucmr,kadiriilham634-del,kadiriilham634-del,2,4,4,,,,,,,,,,,
16/12/2025 16:20:42,fatoucmr,fatoucmr,kada798,kada798,3,3,4,4,4,Conforme,Conforme,Conforme,Conforme,5,/,/,6,14
16/12/2025 16:20:57,kell2107,kell2107,Fatoucmr,fatoucmr,4,4,4,4,4,Conforme,Conforme,Conforme,Conforme,8,"Le responsive, elle s'adapte à tout type d'écran. ",Ajouter des options pour que la carte ne reste pas figée. ,8,15
16/12/2025 16:21:01,kell2107,kell2107,lizachikhaoui,lizachikhaoui,4,5,5,4,4,,,,,,,,,"15,5"
16/12/2025 16:21:07,callmejeeh,callmejeeh,callmejeeh,callmejeeh,6,5,4,4,4,Conforme,Conforme,Conforme,Partiellement Conforme,,,,9,
16/12/2025 16:21:09,Ouarkia,Ouarkia,THAUT627,THAUT627,2,4,4,4,4,Conforme,Conforme,Conforme,Non Conforme,7,Le jeu est simple mais marche bien,Mettre les questions dans un autre aléatoire.,8,14
16/12/2025 16:21:09,Ouarkia,Ouarkia,Calrifaii,calrifaii,6,4,3,,,,,,,,,,,
16/12/2025 16:21:23,lizachikhaoui,lizachikhaoui,ouarkia,Ouarkia,5,4,4,4,4,Conforme,Conforme,Conforme,Conforme,8,le surligniage du texte,les boutons nouveau ne marchent pas,8,"13,5"
16/12/2025 16:21:36,Fatoucmr,fatoucmr,kadiriilham634-del,kadiriilham634-del,3,4,4,,,,,,,,,,,
16/12/2025 16:21:38,Liline96,Liline96,Wafa258,wafa258,2,3,4,3,4,Conforme,Conforme,Partiellement Conforme,Non Conforme,6,Ajout de formes différentes,Jouer sur la taille des formes,6,14
16/12/2025 16:22:04,kell2107,kell2107,lizachikhaoui,lizachikhaoui,5,5,5,,,,,,,,,,,16
16/12/2025 16:22:13,lizachikhaoui,lizachikhaoui,callmejeeh,callmejeeh,1,3,4,1,1,Conforme,Conforme,Partiellement Conforme,Partiellement Conforme,,,,,
16/12/2025 16:22:23,fatoucmr,fatoucmr,kada798,kada798,4,4,4,3,4,Conforme,Conforme,Conforme,Conforme,5,/,/,7,15
16/12/2025 16:22:58,Fatoucmr,fatoucmr,kadiriilham634-del,kadiriilham634-del,4,4,3,,,,,,,,,,,
16/12/2025 16:23:02,Ourkia,Ouarkia,kell21071,kell2107,5,2,2,3,2,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,3,,"J'ai l'impression que le timer n'a pas d'utilité , mais c'est pas mal (il faudrait juste que ce soit cohérent avec le reste)",3,"11,5"
16/12/2025 16:23:07,kell2107,kell2107,lizachikhaoui,lizachikhaoui,6,5,5,,,,,,,,,,,16
16/12/2025 16:23:09,Liline96,Liline96,Wafa258,wafa258,3,4,4,4,4,Conforme,Conforme,Partiellement Conforme,Non Conforme,6,Ajout du texte pour mieux expliquer au joueur les instructions du jeu,,6,15
16/12/2025 16:23:17,kell2107,kell2107,Fatoucmr,fatoucmr,5,4,3,4,4,Conforme,Conforme,Conforme,Conforme,8,"Ajout du zoom et dézoom, et l'ajout de l'encadré avec informations stations. ","Faire attention au petit bug lorsque l'on zoom, la densité est parfois coupé. ",8,15
16/12/2025 16:23:19,lizachikhaoui,lizachikhaoui,callmejeeh,callmejeeh,2,2,4,3,2,Conforme,Conforme,Partiellement Conforme,Partiellement Conforme,,,,1,
16/12/2025 16:23:20,lizachikhaoui,lizachikhaoui,ouarkia,Ouarkia,6,4,4,4,4,Conforme,Conforme,Conforme,Conforme,8,"bcp + d'option, tous marchent",les voix sont un peu terrifiante et ne chante pas le texte,8,14
16/12/2025 16:23:26,kell2107,kell2107,Liline96,Liline96,1,4,5,3,4,Conforme,Conforme,Conforme,Conforme,9,,Préciser dans le texte que c'est Paris et une carte  en dessous,,14
16/12/2025 16:23:39,fatoucmr,fatoucmr,lcruz-almeida,lcruz-almeida,1,3,5,3,5,Conforme,Partiellement Conforme,Conforme,,7,,temps de jeux et niveau,,12
16/12/2025 16:23:40,fatoucmr,fatoucmr,kada798,kada798,5,3,4,4,4,Conforme,Conforme,Conforme,Conforme,5,/,/,6,14
16/12/2025 16:23:44,fatoucmr,fatoucmr,sakeenasn,sakeenasn,1,3,5,4,5,Conforme,Conforme,Conforme,,7,Les scores ,"Temps du jeu , niveau ",,12
16/12/2025 16:23:49,Fatoucmr,fatoucmr,kadiriilham634-del,kadiriilham634-del,5,4,3,,,,,,,,,,,
16/12/2025 16:24:01,Fatoucmr,fatoucmr,kadiriilham634-del,kadiriilham634-del,6,4,4,,,,,,,,,,,
16/12/2025 16:24:02,lizachikhaoui,lizachikhaoui,callmejeeh,callmejeeh,3,2,4,3,2,Conforme,Conforme,Partiellement Conforme,Partiellement Conforme,,,,3,
16/12/2025 16:24:11,Liline96,Liline96,Wafa258,wafa258,4,4,4,4,4,Conforme,Conforme,Partiellement Conforme,Non Conforme,6,,Ajuster le volume du son. ,6,15
16/12/2025 16:24:33,fatoucmr,fatoucmr,kada798,kada798,5,4,4,4,4,Conforme,Conforme,Conforme,Conforme,5,/,/,7,15
16/12/2025 16:24:51,lizachikhaoui,lizachikhaoui,callmejeeh,callmejeeh,4,4,4,3,2,Conforme,Conforme,Partiellement Conforme,Partiellement Conforme,,,la lecture robotique n'est pas très bonne,2,
16/12/2025 16:25:05,callmejeeh,callmejeeh,ouarkia,Ouarkia,1,3,3,3,3,Conforme,Conforme,Conforme,Conforme,6,ça marche bien c'est fluide,ajt d'autres fonctionnalitès,6,11
16/12/2025 16:25:13,Liline96,Liline96,Wafa258,wafa258,5,4,4,4,4,Conforme,Conforme,Partiellement Conforme,Non Conforme,6,,Améliorer l'interface du jeu.,6,15
16/12/2025 16:25:27,Ouarkia,Ouarkia,kell2107,kell2107,6,2,2,2,2,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,2,,"La première réponse se sélectionne toute seule , et le timer ne s'arrête pas quand la question est repondu",3,"12,5"
16/12/2025 16:25:31,fatoucmr,fatoucmr,nali-333,nali-333,1,4,3,3,4,Conforme,Conforme,Conforme,Conforme,7,,,,12
16/12/2025 16:25:42,kell2107,kell2107,Fatoucmr,fatoucmr,6,4,3,4,4,Conforme,Conforme,Conforme,Conforme,8,Curseur qui rend la carte dynamique.,"Régler les légers bug lorsque la densité est coupée, et ajouter d'autres éléments dynamiques.",8,15
16/12/2025 16:25:46,fatoucmr,fatoucmr,lcruz-almeida,lcruz-almeida,1,3,4,3,5,Conforme,Conforme,Conforme,,7,,les niveaux,7,13
16/12/2025 16:25:54,fatoucmr,fatoucmr,sakeenasn,sakeenasn,1,3,5,4,5,Conforme,Conforme,Conforme,,7,,Niveaux ,7,13
16/12/2025 16:25:54,lizachikhaoui,lizachikhaoui,callmejeeh,callmejeeh,5,2,2,2,3,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,,,,3,
16/12/2025 16:26:14,callmejeeh,callmejeeh,ouarkia,Ouarkia,2,3,3,3,3,Conforme,Conforme,Conforme,Conforme,7,précis,mettre un fond,7,11
16/12/2025 16:26:29,fatoucmr,fatoucmr,nali-333,nali-333,2,4,4,4,4,Conforme,Conforme,Conforme,Conforme,7,,,7,12
16/12/2025 16:26:31,Ouarkia,Ouarkia,THAUT627,THAUT627,3,4,4,,,Conforme,Conforme,Conforme,Conforme,7,"La simplicité du projet, mais ça fonctionne*",Changer les questions par d'autres si elles viennent d'un CSV. Mettre les questions dans un ordre aléatoire. Ajouter un son pour une bonne et une mauvaise réponse.,7,14
16/12/2025 16:26:44,Liline96,Liline96,Wafa258,wafa258,6,4,4,4,4,Conforme,Conforme,Partiellement Conforme,Partiellement Conforme,6,L'ajout du mode sombre au jeu,"Améliorer l'interface du jeu, design...",6,16
16/12/2025 16:26:58,Kell2107,kell2107,Kell2107,kell2107,1,2,2,2,2,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,3,,,2,10
16/12/2025 16:27:10,lizachikhaoui,lizachikhaoui,callmejeeh,callmejeeh,6,5,2,4,4,Conforme,Conforme,Conforme,Conforme,,,Le son ne marche pas (?),6,
16/12/2025 16:27:21,Liline96,Liline96,kadiriilham634-del,kadiriilham634-del,1,4,3,,,,,,,,,,,
16/12/2025 16:27:38,Fatoucmr ,fatoucmr,Haithem939,Haithem939,1,3,3,3,3,Conforme,Conforme,Partiellement Conforme,Non Conforme,5,,,5,10
16/12/2025 16:27:48,callmejeeh,callmejeeh,ouarkia,Ouarkia,3,3,3,3,3,Conforme,Conforme,Conforme,Conforme,7,ajout score,ajouter les consignes du jeu,7,13
16/12/2025 16:27:55,kell2107,kell2107,Liline96,Liline96,2,4,5,4,4,Conforme,Conforme,Conforme,Conforme,9,,Un texte en dessous du titre pour préciser qu'on peut cliquer pour voir les stations,,14
16/12/2025 16:27:59,fatoucmr,fatoucmr,nali-333,nali-333,3,4,4,4,4,Dépasse les attentes,Conforme,Conforme,Conforme,7,,,7,13
16/12/2025 16:28:27,liline96,Liline96,kada798,kada798,1,4,4,4,4,Conforme,Conforme,Conforme,Conforme,7,interesting,/,6,14
